2024-12-02T03:39:35-00:00
Running C:\Users\yikai\Desktop\fastcpy_bench.exe
Run on (12 X 2496 MHz CPU s)
CPU Caches:
  L1 Data 48 KiB (x6)
  L1 Instruction 32 KiB (x6)
  L2 Unified 1280 KiB (x6)
  L3 Unified 18432 KiB (x1)
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"bench_text_cat/(memcpy_glibc/64/678*KB)_mean",5,2.10903e+06,2.10938e+06,ns,2.82239e+10,,,,
"bench_text_cat/(memcpy_glibc/64/678*KB)_median",5,2.09988e+06,2.09961e+06,ns,2.83528e+10,,,,
"bench_text_cat/(memcpy_glibc/64/678*KB)_stddev",5,14041.2,21836.6,ns,2.88176e+08,,,,
"bench_text_cat/(memcpy_glibc/64/678*KB)_cv",5,0.00665768,0.0103522,,0.0102104,,,,
"bench_text_cat/(memcpy/64/678*KB)_mean",5,2.25807e+06,2.25753e+06,ns,2.63717e+10,,,,
"bench_text_cat/(memcpy/64/678*KB)_median",5,2.2576e+06,2.24707e+06,ns,2.64921e+10,,,,
"bench_text_cat/(memcpy/64/678*KB)_stddev",5,3042.14,23370.3,ns,2.69265e+08,,,,
"bench_text_cat/(memcpy/64/678*KB)_cv",5,0.00134723,0.0103522,,0.0102104,,,,
"bench_text_cat/(fastcpy/64/678*KB)_mean",5,2.08986e+06,2.08333e+06,ns,2.85743e+10,,,,
"bench_text_cat/(fastcpy/64/678*KB)_median",5,2.08989e+06,2.08333e+06,ns,2.85743e+10,,,,
"bench_text_cat/(fastcpy/64/678*KB)_stddev",5,4418.69,0,ns,404.772,,,,
"bench_text_cat/(fastcpy/64/678*KB)_cv",5,0.00211435,0,,1.41656e-08,,,,
"bench_text_cat<0x8>/(_MEMCPY_ERMS/64/678*KB)_mean",5,2.13493e+06,2.12891e+06,ns,2.79662e+10,,,,
"bench_text_cat<0x8>/(_MEMCPY_ERMS/64/678*KB)_median",5,2.13323e+06,2.14844e+06,ns,2.77084e+10,,,,
"bench_text_cat<0x8>/(_MEMCPY_ERMS/64/678*KB)_stddev",5,3859.71,26744.3,ns,3.52942e+08,,,,
"bench_text_cat<0x8>/(_MEMCPY_ERMS/64/678*KB)_cv",5,0.00180788,0.0125624,,0.0126203,,,,
"bench_text_cat<0x10>/(_MEMCPY_TRIVIAL/64/678*KB)_mean",5,1.42599e+07,1.425e+07,ns,4.17801e+09,,,,
"bench_text_cat<0x10>/(_MEMCPY_TRIVIAL/64/678*KB)_median",5,1.41923e+07,1.4375e+07,ns,4.1412e+09,,,,
"bench_text_cat<0x10>/(_MEMCPY_TRIVIAL/64/678*KB)_stddev",5,122421,171163,ns,5.04051e+07,,,,
"bench_text_cat<0x10>/(_MEMCPY_TRIVIAL/64/678*KB)_cv",5,0.008585,0.0120115,,0.0120644,,,,
"bench_text_cat/(memcpy_kernel/64/678*KB)_mean",5,2.84871e+06,2.8489e+06,ns,2.09021e+10,,,,
"bench_text_cat/(memcpy_kernel/64/678*KB)_median",5,2.82855e+06,2.8238e+06,ns,2.10815e+10,,,,
"bench_text_cat/(memcpy_kernel/64/678*KB)_stddev",5,48210.1,56126.2,ns,4.01188e+08,,,,
"bench_text_cat/(memcpy_kernel/64/678*KB)_cv",5,0.0169235,0.019701,,0.0191937,,,,
"bench_text_cat/(memcpySSE2/64/678*KB)_mean",5,2.63157e+06,2.616e+06,ns,2.27578e+10,,,,
"bench_text_cat/(memcpySSE2/64/678*KB)_median",5,2.63158e+06,2.60417e+06,ns,2.28594e+10,,,,
"bench_text_cat/(memcpySSE2/64/678*KB)_stddev",5,3133.81,26468.6,ns,2.27179e+08,,,,
"bench_text_cat/(memcpySSE2/64/678*KB)_cv",5,0.00119085,0.010118,,0.00998245,,,,
"bench_text_cat/(memcpySSE2Unrolled2/64/678*KB)_mean",5,2.19947e+06,2.20527e+06,ns,2.69968e+10,,,,
"bench_text_cat/(memcpySSE2Unrolled2/64/678*KB)_median",5,2.19678e+06,2.19482e+06,ns,2.71229e+10,,,,
"bench_text_cat/(memcpySSE2Unrolled2/64/678*KB)_stddev",5,4785.66,23370.3,ns,2.82087e+08,,,,
"bench_text_cat/(memcpySSE2Unrolled2/64/678*KB)_cv",5,0.00217582,0.0105975,,0.0104489,,,,
"bench_text_cat/(memcpySSE2Unrolled4/64/678*KB)_mean",5,2.20465e+06,2.20703e+06,ns,2.69749e+10,,,,
"bench_text_cat/(memcpySSE2Unrolled4/64/678*KB)_median",5,2.20007e+06,2.19727e+06,ns,2.70927e+10,,,,
"bench_text_cat/(memcpySSE2Unrolled4/64/678*KB)_stddev",5,32701.5,21836.6,ns,2.63396e+08,,,,
"bench_text_cat/(memcpySSE2Unrolled4/64/678*KB)_cv",5,0.014833,0.00989411,,0.00976449,,,,
"bench_text_cat/(memcpySSE2Unrolled8/64/678*KB)_mean",5,2.2514e+06,2.24609e+06,ns,2.65184e+10,,,,
"bench_text_cat/(memcpySSE2Unrolled8/64/678*KB)_median",5,2.24858e+06,2.24609e+06,ns,2.65037e+10,,,,
"bench_text_cat/(memcpySSE2Unrolled8/64/678*KB)_stddev",5,73399.2,59802,ns,6.91414e+08,,,,
"bench_text_cat/(memcpySSE2Unrolled8/64/678*KB)_cv",5,0.0326016,0.0266249,,0.026073,,,,
"bench_text_cat/(memcpy_my/64/678*KB)_mean",5,2.16401e+06,2.1582e+06,ns,2.75853e+10,,,,
"bench_text_cat/(memcpy_my/64/678*KB)_median",5,2.16222e+06,2.14844e+06,ns,2.77084e+10,,,,
"bench_text_cat/(memcpy_my/64/678*KB)_stddev",5,3749.28,21836.6,ns,2.75368e+08,,,,
"bench_text_cat/(memcpy_my/64/678*KB)_cv",5,0.00173256,0.010118,,0.00998245,,,,
"bench_text_cat/(memcpy_jart/64/678*KB)_mean",5,2.2445e+06,2.23662e+06,ns,2.66183e+10,,,,
"bench_text_cat/(memcpy_jart/64/678*KB)_median",5,2.24487e+06,2.24707e+06,ns,2.64921e+10,,,,
"bench_text_cat/(memcpy_jart/64/678*KB)_stddev",5,2150.23,23370.3,ns,2.82087e+08,,,,
"bench_text_cat/(memcpy_jart/64/678*KB)_cv",5,0.000958001,0.0104489,,0.0105975,,,,
"bench_text_cat/(memcpy_fast_sse/64/678*KB)_mean",5,2.37084e+06,2.38294e+06,ns,2.49845e+10,,,,
"bench_text_cat/(memcpy_fast_sse/64/678*KB)_median",5,2.36951e+06,2.40385e+06,ns,2.47644e+10,,,,
"bench_text_cat/(memcpy_fast_sse/64/678*KB)_stddev",5,5736.84,28622.6,ns,3.01423e+08,,,,
"bench_text_cat/(memcpy_fast_sse/64/678*KB)_cv",5,0.00241975,0.0120115,,0.0120644,,,,
"bench_text_cat/(rte_memcpy_sse/64/678*KB)_mean",5,2.15005e+06,2.13867e+06,ns,2.78373e+10,,,,
"bench_text_cat/(rte_memcpy_sse/64/678*KB)_median",5,2.1476e+06,2.14844e+06,ns,2.77084e+10,,,,
"bench_text_cat/(rte_memcpy_sse/64/678*KB)_stddev",5,7039.63,21836.6,ns,2.88176e+08,,,,
"bench_text_cat/(rte_memcpy_sse/64/678*KB)_cv",5,0.00327417,0.0102104,,0.0103522,,,,
"bench_text_cat/(AVX_memcpy/64/678*KB)_mean",5,2.46077e+06,2.46652e+06,ns,2.41371e+10,,,,
"bench_text_cat/(AVX_memcpy/64/678*KB)_median",5,2.45774e+06,2.45536e+06,ns,2.42449e+10,,,,
"bench_text_cat/(AVX_memcpy/64/678*KB)_stddev",5,5858.75,24956.1,ns,2.40947e+08,,,,
"bench_text_cat/(AVX_memcpy/64/678*KB)_cv",5,0.00238086,0.010118,,0.00998245,,,,
"bench_text_cat/(memcpyAVX2/64/678*KB)_mean",5,2.19036e+06,2.19727e+06,ns,2.70927e+10,,,,
"bench_text_cat/(memcpyAVX2/64/678*KB)_median",5,2.18849e+06,2.19727e+06,ns,2.70927e+10,,,,
"bench_text_cat/(memcpyAVX2/64/678*KB)_stddev",5,7330.94,0,ns,404.772,,,,
"bench_text_cat/(memcpyAVX2/64/678*KB)_cv",5,0.00334691,0,,1.49403e-08,,,,
"bench_text_cat/(memcpyAVXUnrolled2/64/678*KB)_mean",5,2.12115e+06,2.10938e+06,ns,2.82239e+10,,,,
"bench_text_cat/(memcpyAVXUnrolled2/64/678*KB)_median",5,2.12052e+06,2.09961e+06,ns,2.83528e+10,,,,
"bench_text_cat/(memcpyAVXUnrolled2/64/678*KB)_stddev",5,3061.02,21836.6,ns,2.88176e+08,,,,
"bench_text_cat/(memcpyAVXUnrolled2/64/678*KB)_cv",5,0.00144309,0.0103522,,0.0102104,,,,
"bench_text_cat/(memcpyAVXUnrolled4/64/678*KB)_mean",5,2.12812e+06,2.12891e+06,ns,2.79662e+10,,,,
"bench_text_cat/(memcpyAVXUnrolled4/64/678*KB)_median",5,2.12657e+06,2.14844e+06,ns,2.77084e+10,,,,
"bench_text_cat/(memcpyAVXUnrolled4/64/678*KB)_stddev",5,3026.15,26744.3,ns,3.52942e+08,,,,
"bench_text_cat/(memcpyAVXUnrolled4/64/678*KB)_cv",5,0.00142198,0.0125624,,0.0126203,,,,
