2024-11-29T16:14:52-00:00
Running C:\Users\juan\Desktop\fastcpy_bench.exe
Run on (4 X 2904 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x2)
  L1 Instruction 32 KiB (x2)
  L2 Unified 256 KiB (x2)
  L3 Unified 4096 KiB (x1)
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"bench_text_cat/(memcpy_glibc/64/678*KB)_mean",5,3.11965e+06,3.13895e+06,ns,1.89686e+10,,,,
"bench_text_cat/(memcpy_glibc/64/678*KB)_median",5,3.10598e+06,3.13895e+06,ns,1.89649e+10,,,,
"bench_text_cat/(memcpy_glibc/64/678*KB)_stddev",5,40337,49323.9,ns,2.98196e+08,,,,
"bench_text_cat/(memcpy_glibc/64/678*KB)_cv",5,0.01293,0.0157135,,0.0157205,,,,
"bench_text_cat/(memcpy/64/678*KB)_mean",5,3.27972e+06,3.2277e+06,ns,1.84434e+10,,,,
"bench_text_cat/(memcpy/64/678*KB)_median",5,3.2823e+06,3.2277e+06,ns,1.84434e+10,,,,
"bench_text_cat/(memcpy/64/678*KB)_stddev",5,7203.51,0,ns,0,,,,
"bench_text_cat/(memcpy/64/678*KB)_cv",5,0.00219638,0,,0,,,,
"bench_text_cat/(fastcpy/64/678*KB)_mean",5,3.10171e+06,3.08315e+06,ns,1.93097e+10,,,,
"bench_text_cat/(fastcpy/64/678*KB)_median",5,3.1027e+06,3.0692e+06,ns,1.93959e+10,,,,
"bench_text_cat/(fastcpy/64/678*KB)_stddev",5,7378.34,31195.1,ns,1.92758e+08,,,,
"bench_text_cat/(fastcpy/64/678*KB)_cv",5,0.0023788,0.010118,,0.00998245,,,,
"bench_text_cat<0x8>/(_MEMCPY_ERMS/64/678*KB)_mean",5,2.83192e+06,2.8489e+06,ns,2.08982e+10,,,,
"bench_text_cat<0x8>/(_MEMCPY_ERMS/64/678*KB)_median",5,2.83413e+06,2.8238e+06,ns,2.10815e+10,,,,
"bench_text_cat<0x8>/(_MEMCPY_ERMS/64/678*KB)_stddev",5,11155.6,34370.1,ns,2.51017e+08,,,,
